BIB_ID, TITLE,AUTHOR,CALL_NUM,HOLDINGS_LOC,BARCODE,ENUM,CHRON,ITEM_LOC
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00895750,Box 144
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00895768,Box 145
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00895776,Box 146
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00434736,Box 147
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00434612,Index 1
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00434620,Index 2
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00434639,Index 3
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00434647,Index 4
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00434655,Index 5
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00434663,Index 6
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00434671,Index 7
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00819140,Box 1
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00819158,Box 2
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00819166,Box 3
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00819263,Box 4
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00819271,Box 5
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00819280,Box 6
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00819395,Box 7
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00819409,Box 8
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00893811,Box 9
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00893820,Box 10
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00893838,Box 11
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00893846,Box 12
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00893854,Box 13
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00893862,Box 14
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00893870,Box 15
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00893889,Box 16
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00893897,Box 17
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00893900,Box 18
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00893919,Box 19
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00893927,Box 20
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00893935,Box 21
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00893943,Box 22
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00893951,Box 23
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00893960,Box 24
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00893978,Box 25
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00893986,Box 26
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00893994,Box 27
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894001,Box 28
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894010,Box 29
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894028,Box 30
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894036,Box 31
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894044,Box 32
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894052,Box 33
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894060,Box 34
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894079,Box 35
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894087,Box 36
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894095,Box 37
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894109,Box 38
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894117,Box 39
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894125,Box 40
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894133,Box 41
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894141,Box 42
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894168,Box 43
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894150,Box 44
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894281,Box 45
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894273,Box 46
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894400,Box 47
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894397,Box 48
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894389,Box 49
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894370,Box 50
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894362,Box 51
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894354,Box 52
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894346,Box 53
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894176,Box 54
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894184,Box 55
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894265,Box 56
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894257,Box 57
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894249,Box 58
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894230,Box 59
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894222,Box 60
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894338,Box 61
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894320,Box 62
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894214,Box 63
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894311,Box 64
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894206,Box 65
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894192,Box 66
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894303,Box 67
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894290,Box 68
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894524,Box 69
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894648,Box 70
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894516,Box 71
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894630,Box 72
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894508,Box 73
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894621,Box 74
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894494,Box 75
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894613,Box 76
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894486,Box 77
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894478,Box 78
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894605,Box 79
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894761,Box 80
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894885,Box 81
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00895008,Box 82
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894753,Box 83
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894460,Box 84
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894451,Box 85
